Volume,Ulcer,ATR,BBhPrice,BBlPrice,BBWidth,EMA5Price,EMA10Price,EMA20Price,MACDHist,DIplus,DIminus,VI,TRIX,CCI,DPO,STC,PSARUp,PSARDown,RSI,SRSI,TSI,UO,SO,WR,AO,ROC,PPOHist,CandleBodyWidth,CandleTopWick,CandleBottomWick,Prev Day,Week Open,Month Open,Year Open:,Label
84292578,2.384870354,1.052467713,-3.691733817,0.753166667,4.511182549,-0.134770234,-0.811887765,-1.596039312,-0.119863366,12.18669783,30.42178785,-0.248807466,-0.307547153,-149.2443757,0.3439,51.48372121,0,0,37.43549588,0.3817566,-34.18769258,36.4446458,27.70693253,-72.29306747,-1.95504902,-1.707401538,-0.208580681,0.281581568,0.249829177,0.232872596,0.281581568,-2.079391133,-2.766560434,,1
141517640,2.587144279,1.098220019,-5.248884363,-0.202534541,5.187752892,-1.042758131,-1.826616215,-2.718875582,-0.146093538,10.84127181,33.88419325,-0.369788674,-0.337828244,-175.1976341,0.9329,45.99670526,0,0,31.84708635,0.141365536,-37.36437398,32.64184254,4.155900086,-95.84409991,-1.961882353,-3.270719621,-0.265073851,-1.413699215,0.187923763,0.209468406,-1.413699215,-4.025820132,-3.873943281,,1
107786900,2.558672827,1.160561446,-3.377358401,1.829131857,5.247108824,0.597019433,0.080967062,-0.734132252,0.043544927,12.42861692,29.764318,-0.270760161,-0.281613637,-87.05589125,1.2922,72.99835263,0,0,44.06417364,0.666895848,-24.87297574,37.80479439,43.15245478,-56.84754522,-1.650470588,-1.848511703,-0.157154194,1.066033989,0.169956024,0.362018252,1.066033989,-1.216146735,-0.789326701,,1
110709936,2.629545668,1.206092771,-3.729341411,1.567455716,5.354678138,0.143590882,-0.244404414,-1.005858695,0.091885046,12.44958616,26.58841578,-0.183981015,-0.217553757,-80.6341977,1.88515,86.49917632,0,0,42.44876372,0.597407364,-19.73879331,41.88965469,35.46511628,-64.53488372,-1.520186275,-2.544838623,-0.097726788,-0.151181236,0.64092327,1.136620979,-0.151181236,-0.151181236,-1.611397279,,1
64530548,2.696690925,1.173086145,-3.06505245,2.278813339,5.364956482,0.529981382,0.332391915,-0.325704777,0.161195138,11.88449333,25.38155455,-0.183402001,-0.135574441,-38.15688478,0.9132,93.24958816,0,0,46.09696053,0.754338223,-12.77807377,47.58317072,48.64341085,-51.35658915,-1.011088235,-2.445149489,-0.006016046,0.394571714,0.139834952,0.125654896,0.394571714,1.931798549,-0.927782034,,-1
92872400,2.8392927,1.18365142,-4.014571471,1.420949686,5.506935699,-0.295326317,-0.522618283,-1.168348474,0.092414916,10.93538956,26.20802899,-0.239290155,-0.100326372,-56.68461984,1.0559,96.62479408,1,0,41.8362646,0.571060097,-12.94163229,47.73481463,28.9836348,-71.0163652,-0.736156863,-2.367599294,-0.002072103,-0.667290037,0.685353621,0.051372062,-0.667290037,0.088864145,-1.662038206,,1
104976129,2.920709808,1.193390605,-3.51325797,1.907264313,5.464401252,0.064042711,-0.108099133,-0.706560257,0.093465476,10.06998781,27.52731477,-0.313956677,-0.069955312,-64.90806647,1.6376,98.31239704,0,0,44.07396654,0.765734742,-10.77159816,49.45834766,37.17447917,-62.82552083,-0.672401961,-2.07533389,0.033268102,0.684453885,0.361210856,0.369333477,0.684453885,0.209278736,-1.075144143,,1
91522902,3.078203986,1.194219847,-4.666446402,0.899493068,5.672785052,-0.797081434,-1.116191882,-1.769216368,-0.013889335,9.343092357,26.71439241,-0.322552637,-0.092710332,-88.71796662,0.65995,49.15619852,0,0,38.90450903,0.510569708,-15.14434394,44.22910763,11.96428571,-88.03571429,-0.839343137,-3.784300086,-0.018363891,-0.926866294,0.361338878,0,-0.926866294,-0.509935694,-3.379033519,,1
128511977,3.138082906,1.220204144,-3.288902708,2.335635913,5.651475441,0.368537611,0.188406425,-0.390607063,0.067497427,8.489786251,25.42351722,-0.266290405,-0.072169274,-59.63183898,-0.5073,51.63617001,0,0,46.1919886,0.870280561,-10.03721463,53.41468676,40.13392857,-59.86607143,-0.945264706,-1.316328567,0.043739757,0.593262085,0.106455459,0.977529791,0.593262085,0.009581909,-2.405169816,,1
69084047,3.142506008,1.182689562,-2.668421128,2.910160607,5.571847058,0.611373511,0.603622293,0.14162611,0.138556575,10.64875479,24.35494613,-0.183429403,-0.021023531,-13.62821425,-1.78425,75.818085,0,0,48.87707882,1,-4.05913322,51.2835028,54.20473179,-45.79526821,-0.619176471,0.530046619,0.123260916,0.278161164,0,0.461832183,0.278161164,0.453066173,-0.832589637,,1
107105931,3.112289124,1.165711736,-2.335761372,3.071250079,5.387200326,0.52903366,0.643714902,0.293999431,0.161398114,12.31366007,22.94290337,-0.151960784,0.033572163,4.520021021,-1.42975,87.9090425,0,0,49.78188065,1,0.65853148,53.9930821,77.26001864,-22.73998136,-0.149254902,2.157038445,0.185946012,0.461832466,0.210303831,0.331277495,0.461832466,0.545095206,-0.976370372,,1
101650497,3.014033612,1.167518041,-1.430223721,3.801012115,5.169951531,0.86735944,1.160677655,0.966977585,0.207704123,15.85610366,21.26920722,0.033214445,0.102657635,54.71334427,-0.6389,93.95452125,0,0,53.5295746,1,7.7510283,56.93280726,94.37115215,-5.628847845,0.469098039,2.625999548,0.272199358,0.745898089,0.201348616,0.310519511,0.745898089,2.300108354,-0.802055593,,1
119932280,2.7891735,1.156552466,-1.169090701,3.595111827,4.707104848,0.551328729,0.9165276,0.839654051,0.185093892,16.11095182,19.93577128,0.209110931,0.152760654,78.08039008,-1.8998,96.97726063,0,0,53.3188281,0.990583682,12.18990826,63.76369218,88.09853308,-11.90146692,0.88204902,1.769089511,0.315996289,-0.178027249,0.272276969,0.616443417,-0.178027249,1.902908885,-0.801323745,,1
85773198,2.580746774,1.127155862,-1.367827067,3.215092566,4.540977676,0.152242888,0.484303966,0.466571822,0.115063307,15.34954066,18.99359735,0.289913276,0.166393895,84.20781893,-0.052,98.48863031,0,0,51.46412341,0.904741044,13.05619143,58.76744593,79.62911708,-20.37088292,1.242372549,2.906932666,0.311967651,-0.707478159,0.051205952,0.020000842,-0.707478159,1.748731019,-1.749614816,,1
54192838,2.434667135,1.107001872,-0.715852794,3.82029124,4.466809361,0.508474788,0.897183147,0.976957964,0.114339907,15.09310245,17.95698454,0.219125843,0.182336989,106.0706195,-0.3968,99.24431516,0,0,54.68708801,1,16.99940308,65.2407683,93.6366098,-6.363390198,1.349745098,1.544475367,0.337336597,0.487743346,0.245826185,0.153706862,0.487743346,1.492727466,-0.404234039,,1
92465489,2.121982897,1.110358881,-1.405276333,2.607332986,3.988636484,-0.342199725,-0.104475561,-0.044062315,0.004310862,13.9716262,20.12542451,0.232036835,0.1498488,60.20743663,0.2999,49.62215758,0,0,48.84893422,0.630088733,11.90381053,57.16190296,64.03220996,-35.96779004,1.149058824,0.895665618,0.274391864,-0.650952806,0.117591475,0.193769721,-0.650952806,0.461832466,-1.074717991,,1
113423231,1.998589783,1.119904675,-0.852496418,3.172650609,3.978987702,0.139682479,0.366827707,0.460715145,0.001961516,12.86213495,21.22746427,0.137334432,0.126531383,67.07244189,-0.6111,24.81107879,0,0,51.83707029,0.819420025,11.8910598,58.05123159,79.66000596,-20.33999404,0.802852941,0.796635486,0.259554305,0.28245908,0.119812084,0.916835959,0.28245908,0.526143411,-1.096627999,,1
117777095,1.868698055,1.164911484,-1.948920752,2.028963312,3.976292701,-0.642847318,-0.60342628,-0.582732609,-0.095013552,11.48093506,21.12633448,0.115567987,0.066333108,27.94062027,-0.25155,12.40553939,0,1,46.05353091,0.452969182,4.05536978,50.99480446,48.46406203,-51.53593797,0.454313725,0.662145394,0.169267698,-1.159578602,0.217420988,0.468696618,-1.159578602,-1.453540124,-1.257069705,,1
105291719,1.813198068,1.186560664,-2.092203758,1.611725065,3.712848547,-0.567428628,-0.663208769,-0.714162735,-0.13483906,10.46566199,22.31223693,-0.03980553,0.000815105,-23.71659065,-1.4926,6.202769697,0,0,45.04454964,0.389039118,-2.075973903,47.81440412,42.64837459,-57.35162541,0.064823529,0.060734569,0.093318238,-0.487453374,0.272338081,0.806165935,-0.487453374,-1.864314676,-0.020228475,,1
60816247,1.587093163,1.169949188,-1.192453799,2.369458937,3.541073428,0.24048711,0.216297154,0.192729914,-0.052431347,11.01034453,21.01183786,0.029898061,-0.015032917,29.43337905,-0.324,53.10138485,0,0,50.31661754,0.723082617,0.244418695,52.47461063,68.80405607,-31.19594393,-0.082362745,2.27787729,0.10248459,0.955393661,0.030595558,0.029831664,0.955393661,-0.364756339,2.350768832,,1
75684904,1.432753749,1.175381389,-0.68631706,2.993930493,3.638268961,0.594967816,0.711319244,0.765756728,0.038820348,14.41437659,19.4198703,0.169601599,0.01270221,83.01200176,0.105,76.55069242,0,0,53.69329691,0.937032401,5.840406223,58.64116215,87.2651357,-12.7348643,-0.040029412,1.562766139,0.146856677,0.988673653,0.112154627,0.21747202,0.988673653,0.166937897,2.144516654,,1
96186324,1.01482015,1.178854146,0.177695357,3.792652951,3.544591284,1.088706041,1.435048812,1.638915959,0.148356136,20.11656897,17.97881915,0.332875943,0.084528657,189.1685816,0.0747,88.27534621,1,0,58.55906592,1,15.35390778,61.74649378,94.43373494,-5.56626506,0.611431373,2.059247025,0.235643813,0.60112084,0.239634014,0.063700919,0.60112084,1.597790917,2.927766804,,1
77450684,0.76983366,1.136864565,0.203980151,4.374415589,4.077102494,1.010109626,1.525373036,1.87406448,0.192886083,21.14193175,17.31087102,0.412651002,0.163724265,191.3233898,0.67325,94.13767311,0,0,60.42610004,1,23.3177669,65.63719903,97.36211031,-2.637889688,1.222480392,2.310171731,0.307851726,0.238142078,0.102261107,0.272012791,0.238142078,1.684750071,3.931335817,,1
57209655,0.742552104,1.093588524,-0.233143794,4.210890688,4.357371871,0.572295756,1.122527819,1.556879141,0.1546471,20.40829673,16.71017562,0.304791303,0.212661846,161.5368657,0.4931,97.06883655,0,0,59.43012209,0.935248534,27.10472718,62.50750981,93.55182521,-6.448174793,1.619284314,1.37483352,0.327798954,-0.199254602,0.029939811,0.320675806,-0.199254602,2.43726687,2.918223727,,1
63210251,0.742552104,1.06790363,-0.066510015,4.888816837,4.838659352,0.748404228,1.370431861,1.911378298,0.148288621,22.83213687,15.88939162,0.3353754,0.252624581,168.6307113,0.0469,98.53441828,0,0,61.94769458,1,32.31688399,69.05417835,95.26501767,-4.734982332,1.686490196,1.972283128,0.358420336,0.470303682,0.206787996,0.020676964,0.470303682,3.528672461,3.376725587,,1
62847089,0.744858102,1.028339085,-0.52027439,4.522665586,4.944000849,0.351136216,0.937556845,1.524837574,0.088419382,22.01658866,15.32183349,0.255530184,0.26167622,139.141727,0.4527,56.95128254,0,0,60.33632842,0.90467063,33.61888778,70.96456204,90.24734982,-9.752650177,1.592892157,2.076514235,0.34347374,0.061901618,0.270136512,0.198478333,0.061901618,2.665396422,3.055933356,,1
59746974,0.749075296,1.015100579,-0.798074722,4.313253794,5.02304402,0.180125298,0.699585677,1.303950144,0.029773002,20.71001858,16.52447696,0.197139348,0.246413066,115.1468785,-0.67125,28.47564127,0,0,59.72367439,0.868425657,33.66967387,67.73257634,88.40989399,-11.59010601,1.508617647,1.374534499,0.309080431,0.041292454,0.380765659,0.450039404,0.041292454,1.136494088,3.966184974,,1
53677981,0.742917115,0.987593394,-0.371598068,4.41531229,4.692043934,0.46427375,0.996116641,1.650729026,0.031250729,21.65446475,15.7712159,0.246212121,0.238123431,128.3320699,-0.3841,14.23782064,0,0,62.3668999,1,36.50269084,66.88419631,97.0568104,-2.943189596,1.415901961,2.944253633,0.302069891,0.205738034,0.132428576,0.140097862,0.205738034,0.85938228,4.13722325,,1
30366042,0.742917115,0.942693866,-0.428187508,4.440735006,4.773159861,0.424809714,0.956329547,1.650205057,0.025582116,21.36839218,15.34203601,0.263253285,0.231623736,118.1910431,-1.6123,57.11891032,0,0,63.24320565,1,39.37791188,66.63273575,100,0,1.407794118,2.554940147,0.289763255,0.163209164,0,0.205716872,0.163209164,0.742300823,4.495513054,,1
55369198,0.711567704,0.923930019,-1.164351204,3.629455862,4.735440286,-0.136781681,0.264243438,0.915349336,-0.049054171,20.24460849,17.01778543,0.321350251,0.195118553,85.49163178,-1.9331,28.55945516,0,0,57.97818938,0.710692028,33.41818018,60.82219832,86.16323762,-13.83676238,1.406901961,3.044536306,0.222490813,-0.485421948,0.060549461,0.070175439,-0.485421948,0.229466851,2.949357681,,1
